OrderID,CustomerID,PaymentID,OrderDate,ShipperID,ShipDate,DeliveryDate,Total_order_amount
7655500,57083,2,12 January 2020,7,13 January 2020,19 January 2020,32299
7655501,57086,3,20 January 2020,2,24 January 2020,27 January 2020,6624
7655502,57086,4,06 February 2020,7,11 February 2020,21 February 2020,8895
7655503,57088,4,09 February 2020,1,13 February 2020,26 February 2020,30786
7655504,57090,4,11 February 2020,3,15 February 2020,20 February 2020,22499.77
7655505,57094,4,15 February 2020,1,24 February 2020,27 February 2020,23697.6
7655506,57092,4,20 February 2020,8,23 February 2020,27 February 2020,17444.65
7655507,57095,6,23 February 2020,8,04 March 2020,11 March 2020,2722
7655508,57105,4,26 February 2020,5,28 February 2020,08 March 2020,21813.1
7655509,57095,5,26 February 2020,7,27 February 2020,08 March 2020,10540
7655510,57103,3,02 March 2020,7,07 March 2020,14 March 2020,10107.35
7655511,57100,3,05 March 2020,3,07 March 2020,17 March 2020,6094.075
7655512,57107,4,05 March 2020,8,14 March 2020,27 March 2020,21480.5
7655513,57101,3,06 March 2020,4,12 March 2020,26 March 2020,3918.6275
7655514,57096,5,07 March 2020,7,14 March 2020,22 March 2020,15915
7655515,57110,4,12 March 2020,5,20 March 2020,28 March 2020,12376.44
7655516,57101,3,13 March 2020,2,14 March 2020,19 March 2020,20524.525
7655517,57095,6,13 March 2020,3,19 March 2020,30 March 2020,27983.4
7655518,57099,6,15 March 2020,6,22 March 2020,05 April 2020,37031.05
7655519,57121,4,15 March 2020,1,21 March 2020,26 March 2020,5495
7655520,57083,5,18 March 2020,1,19 March 2020,06 April 2020,29302
7655521,57094,4,18 March 2020,8,19 March 2020,24 March 2020,48802.9
7655522,57083,3,20 March 2020,8,24 March 2020,03 April 2020,43422.352
7655523,57109,4,20 March 2020,2,23 March 2020,04 April 2020,12501
7655524,57120,6,21 March 2020,7,30 March 2020,15 April 2020,28338.61
7655525,57105,4,27 March 2020,5,01 April 2020,07 April 2020,50937
7655526,57087,4,27 March 2020,5,31 March 2020,20 April 2020,5008.08
7655527,57084,5,30 March 2020,5,07 April 2020,18 April 2020,27782.46
7655528,57127,4,31 March 2020,6,01 April 2020,09 April 2020,15735.35
7655529,57132,4,01 April 2020,8,08 April 2020,13 April 2020,6301
7655530,57091,5,02 April 2020,1,12 April 2020,15 April 2020,26080
7655531,57104,3,02 April 2020,7,06 April 2020,26 April 2020,8998.2275
7655532,57112,4,04 April 2020,8,09 April 2020,26 April 2020,15844
7655533,57132,5,05 April 2020,8,15 April 2020,19 April 2020,1140
7655534,57108,6,05 April 2020,8,09 April 2020,28 April 2020,19517.5
7655535,57139,3,06 April 2020,4,16 April 2020,22 April 2020,2418.25
7655536,57138,4,06 April 2020,4,09 April 2020,20 April 2020,58243
7655537,57113,6,09 April 2020,8,14 April 2020,17 April 2020,83341
7655538,57107,4,10 April 2020,3,14 April 2020,03 May 2020,12615
7655539,57113,4,10 April 2020,5,20 April 2020,08 May 2020,16357
7655540,57108,4,12 April 2020,1,17 April 2020,25 April 2020,53814.12
7655541,57138,5,14 April 2020,6,23 April 2020,05 May 2020,2691
7655542,57090,3,15 April 2020,4,22 April 2020,05 May 2020,51702.6355
7655543,57149,4,15 April 2020,7,20 April 2020,03 May 2020,33801
7655544,57123,5,17 April 2020,2,23 April 2020,09 May 2020,12513
7655545,57120,4,17 April 2020,2,23 April 2020,03 May 2020,7574
7655546,57131,4,18 April 2020,4,28 April 2020,29 April 2020,19501
7655547,57160,4,19 April 2020,6,26 April 2020,07 May 2020,37815
7655548,57135,3,20 April 2020,4,29 April 2020,07 May 2020,2116.5
7655549,57144,6,20 April 2020,5,21 April 2020,30 April 2020,58369.5
7655550,57131,3,22 April 2020,3,25 April 2020,15 May 2020,12666.7
7655551,57150,1,23 April 2020,5,27 April 2020,05 May 2020,2137.5
7655552,57091,4,24 April 2020,8,25 April 2020,14 May 2020,1575
7655553,57127,5,26 April 2020,3,05 May 2020,23 May 2020,6752
7655554,57089,3,27 April 2020,6,29 April 2020,10 May 2020,24213.168
7655555,57135,4,27 April 2020,4,05 May 2020,22 May 2020,17082.7
7655556,57160,3,28 April 2020,3,06 May 2020,17 May 2020,24676.265
7655557,57166,4,29 April 2020,3,06 May 2020,10 May 2020,30578.65
7655558,57145,6,29 April 2020,1,02 May 2020,03 May 2020,4068.5
7655559,57157,4,01 May 2020,6,06 May 2020,25 May 2020,10302.88
7655560,57110,3,01 May 2020,4,04 May 2020,05 May 2020,2781.2
7655561,57172,4,03 May 2020,2,12 May 2020,16 May 2020,17679
7655562,57133,5,03 May 2020,8,05 May 2020,20 May 2020,21711.7
7655563,57125,4,03 May 2020,4,06 May 2020,16 May 2020,1337.5
7655564,57081,4,05 May 2020,6,06 May 2020,21 May 2020,12730.01
7655565,57142,4,06 May 2020,2,13 May 2020,01 June 2020,19608.5
7655566,57143,4,07 May 2020,4,17 May 2020,20 May 2020,498
7655567,57086,3,08 May 2020,6,18 May 2020,24 May 2020,10376.5875
7655568,57136,4,09 May 2020,3,11 May 2020,31 May 2020,14963.1
7655569,57082,6,09 May 2020,8,10 May 2020,12 May 2020,7995.5
7655570,57084,6,10 May 2020,2,16 May 2020,24 May 2020,5023.95
7655571,57160,5,10 May 2020,6,18 May 2020,23 May 2020,24547.4
7655572,57125,4,10 May 2020,8,11 May 2020,20 May 2020,2340
7655573,57179,6,13 May 2020,1,14 May 2020,26 May 2020,29084.06
7655574,57158,5,13 May 2020,1,15 May 2020,16 May 2020,9525
7655575,57117,4,13 May 2020,3,15 May 2020,26 May 2020,50560.4
7655576,57158,6,14 May 2020,5,16 May 2020,02 June 2020,38568.5
7655577,57105,6,16 May 2020,2,26 May 2020,13 June 2020,3242
7655578,57117,5,17 May 2020,5,20 May 2020,01 June 2020,79195.08
7655579,57176,4,17 May 2020,1,19 May 2020,05 June 2020,1820
7655580,57144,4,17 May 2020,6,22 May 2020,09 June 2020,14381.1
7655581,57157,5,17 May 2020,1,18 May 2020,07 June 2020,1425
7655582,57085,6,17 May 2020,8,25 May 2020,28 May 2020,9581.85
7655583,57095,5,17 May 2020,2,27 May 2020,16 June 2020,10740
